id,component,category,scope,current_value,unit,risk_class,replacement_behavior,rationale,source_file
api.scheduler.min_interval_minutes,workers/api,scheduler,daily collection cadence,0,minutes,continuation_throttle,Hourly cron keeps attempting the current Melbourne collection date until lender-dataset completion is achieved.,Forward completeness must not depend on a 24-hour cooldown gate.,workers/api/src/constants.ts
api.queue.consumer.max_batch_size,workers/api,queue,queue consumer batch,50,messages,continuation_throttle,Continue processing remaining tasks in later queue batches without dropping scope.,Operational batch sizing is acceptable when the backlog is retained and retried.,workers/api/wrangler.toml
api.queue.max_attempts_default,workers/api,queue,retry policy,3,attempts,continuation_throttle,"Failures are recorded, retried with backoff, and surfaced in run/fetch diagnostics instead of disappearing silently.",Retries may be bounded if failures remain observable and re-runnable.,workers/api/src/constants.ts
api.queue.retry_backoff_seconds_cap,workers/api,queue,retry pacing,900,seconds,continuation_throttle,Backoff delays retries but never truncates the task graph.,Pacing is safe when retries remain durable.,workers/api/src/queue/consumer.ts
api.ingest.max_products_per_lender_clamp,workers/api,ingest,CDR product discovery,legacy_only 100..50000,products,lossy_forbidden,CDR index/detail tasks must enumerate all discovered products; any operational throttle must resume with continuation state rather than slice product ids.,Product-level truncation directly violates the project goal.,workers/api/src/queue/consumer.ts
api.ingest.cdr_page_limit_runtime,workers/api,ingest,CDR index pagination,runtime continuation up to Number.MAX_SAFE_INTEGER,pages,continuation_throttle,"Paginate until exhaustion or runtime budget, then resume from saved continuation state.",Page limits are only acceptable when no pages are omitted.,workers/api/src/queue/consumer.ts
api.ingest.seed_fallback_count,workers/api,ingest,HTML fallback seeds,2,urls,lossy_forbidden,Fallback collection should keep seed discovery/history separately and expand or continue rather than stop at a fixed seed count when CDR is unavailable.,Fallback coverage should not be silently constrained by a tiny seed list.,workers/api/src/queue/consumer.ts
api.backfill.snapshots_per_month_clamp,workers/api,historical,Wayback month coverage,1..3,snapshots,lossy_forbidden,Historical collection should queue continuation work until all useful monthly snapshots are explored.,Month-level snapshot caps can omit legitimate historical evidence.,workers/api/src/pipeline/bootstrap-jobs.ts
api.public.historical_max_days,workers/api,historical,public manual historical pull request,30,days,abuse_guardrail,Large public requests should use async job orchestration rather than fail open-ended synchronous requests.,User-triggered range limits are acceptable when broader async paths exist.,workers/api/wrangler.toml
api.validation.home_rate_percent,workers/api,validation,home-loan normalization,0..100,%,continuation_throttle,"Store broad structurally plausible values, classify anomalies separately, and let trusted views apply narrower consumer filters.",Write-time validation should avoid dropping unusual but parseable rows.,workers/api/src/ingest/normalize.ts
api.validation.home_comparison_rate_percent,workers/api,validation,home-loan normalization,0..100,%,continuation_throttle,Outlier comparison rates are retained for later analyst review unless structurally invalid.,Historical truth is more important than enforcing consumer-safe display ranges at ingest time.,workers/api/src/ingest/normalize.ts
