series_key,bank_name,product_id,product_name,security_purpose,repayment_type,rate_structure,lvr_tier,interest_rate,comparison_rate,collection_date,source_url,product_url,seed_rate_url,html_fetch_ok,html_seed_contains_ar_rate,html_rounded_near_match,html_seed_text_sample,cdr_fetch_ok,cdr_detail_url,cdr_match,cdr_match_note,observed_bank_rate,evidence,status,notes
AMP Bank|amp-variable-essential_250k_to_749k_gt90_to_lteg95_lvr_inv_p_i|investment|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_250k_to_749k_gt90_to_lteg95_lvr_inv_p_i,AMP Essential Home Loan,investment,principal_and_interest,variable,lvr_80-85%,6.99,7.02,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.99,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_250k_to_749k_gt90_to_lteg95_lvr_oo_p_i|owner_occupied|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_250k_to_749k_gt90_to_lteg95_lvr_oo_p_i,AMP Essential Home Loan,owner_occupied,principal_and_interest,variable,lvr_80-85%,6.74,6.77,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.74,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt60_to_lteg80_lvr_inv_p_i|investment|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt60_to_lteg80_lvr_inv_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",investment,principal_and_interest,variable,lvr_80-85%,6.39,6.42,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.39,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt60_to_lteg80_lvr_oo_p_i|owner_occupied|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt60_to_lteg80_lvr_oo_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",owner_occupied,principal_and_interest,variable,lvr_80-85%,6.19,6.22,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.19,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt80_to_lteg90_lvr_inv_p_i|investment|principal_and_interest|lvr_85-90%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt80_to_lteg90_lvr_inv_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",investment,principal_and_interest,variable,lvr_85-90%,6.39,6.42,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.39,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt80_to_lteg90_lvr_oo_p_i|owner_occupied|principal_and_interest|lvr_85-90%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt80_to_lteg90_lvr_oo_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",owner_occupied,principal_and_interest,variable,lvr_85-90%,6.24,6.27,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.24,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt50_to_lteg60_lvr_inv_p_i|investment|principal_and_interest|lvr_=60%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt50_to_lteg60_lvr_inv_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",investment,principal_and_interest,variable,lvr_=60%,6.29,6.32,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.29,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_250k_lt_750k_gt50_to_lteg60_lvr_oo_p_i|owner_occupied|principal_and_interest|lvr_=60%|variable,AMP Bank,amp-variable-essential_gteq_250k_lt_750k_gt50_to_lteg60_lvr_oo_p_i,"AMP Essential Home Loan - $250,000 to <$750,000",owner_occupied,principal_and_interest,variable,lvr_=60%,6.09,6.12,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.09,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_750k_gt60_to_lteg80_lvr_inv_p_i|investment|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_gteq_750k_gt60_to_lteg80_lvr_inv_p_i,"AMP Essential Home Loan - $750,000+",investment,principal_and_interest,variable,lvr_80-85%,6.14,6.17,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,6.14,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
AMP Bank|amp-variable-essential_gteq_750k_gt60_to_lteg80_lvr_oo_p_i|owner_occupied|principal_and_interest|lvr_80-85%|variable,AMP Bank,amp-variable-essential_gteq_750k_gt60_to_lteg80_lvr_oo_p_i,"AMP Essential Home Loan - $750,000+",owner_occupied,principal_and_interest,variable,lvr_80-85%,5.93,5.96,2026-04-20,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,https://www.amp.com.au/home-loans/interest-rates-fees,1,0,0,Home loan interest rates &amp; fees - AMP --> --> Skip to main content About AMP About AMP Shareholder News Careers Resources Resources Tools &amp; calculators Insights Find a form Target Market Determinations (TMDs) Product Disclosure Stat,1,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,1,amp_graphql_variables,5.93,https://www.amp.com.au/graphql/execute.json/amp-2024/variables,cdr_only_match,regulatory_matches_dynamic_or_sparse_seed_html
